"","smoking_father_ever_pregnancy_binary","smoking_mother_ever_pregnancy_binary","covs_edu_father","covs_edu_mother","covs_bmi_father_zscore","covs_bmi_mother_zscore","anthro_birthweight"
"smoking_father_ever_pregnancy_binary",1,0.45643936759201,-0.298109005062126,-0.232682375449539,-0.0301901386979194,0.00960636401202543,-0.0923494822980383
"smoking_mother_ever_pregnancy_binary",0.45643936759201,1,-0.249398495740647,-0.254523981213259,-0.0295114261741833,-0.0231214581390357,-0.1635881758637
"covs_edu_father",-0.298109005062126,-0.249398495740647,1,0.575426430515423,-0.0863132639173429,-0.101879522082733,0.0667972707203506
"covs_edu_mother",-0.232682375449539,-0.254523981213259,0.575426430515423,1,-0.0769468321814479,-0.105594498099146,0.0540299045076167
"covs_bmi_father_zscore",-0.0301901386979194,-0.0295114261741833,-0.0863132639173429,-0.0769468321814479,1,0.164582039836183,0.0636941350598936
"covs_bmi_mother_zscore",0.00960636401202543,-0.0231214581390357,-0.101879522082733,-0.105594498099146,0.164582039836183,1,0.146523619654729
"anthro_birthweight",-0.0923494822980383,-0.1635881758637,0.0667972707203506,0.0540299045076167,0.0636941350598936,0.146523619654729,1
