"","alspac_coef","alspac_se","alspac_lci","alspac_uci","bib_white_european_coef","bib_white_european_se","bib_white_european_lci","bib_white_european_uci","bib_south_asians_coef","bib_south_asians_se","bib_south_asians_lci","bib_south_asians_uci","bib_all_coef","bib_all_se","bib_all_lci","bib_all_uci","mcs_coef","mcs_se","mcs_lci","mcs_uci"
"pSmoke.pSEP.beta",-0.608237347246407,0.0242035571909821,-0.655676319340731,-0.560798375152082,-0.705348727000297,0.0669899825875967,-0.836649092871987,-0.574048361128608,-0.411771318002399,0.0601950256460135,-0.529753568268586,-0.293789067736213,-0.562108491395963,0.0412356264565463,-0.642930319250793,-0.481286663541132,-0.55709606272948,0.0190801493106617,-0.594493155378377,-0.519698970080583
"pBMI.pSmoke.beta",-0.0605757772208549,0.0247845788489794,-0.109153551764855,-0.0119980026768551,-0.477592488331921,0.0584434969749292,-0.592141742402782,-0.363043234261059,-0.16399256806661,0.0648312139108326,-0.291061747331841,-0.0369233888013778,-0.326782022961069,0.0419294415897017,-0.408963728476884,-0.244600317445253,-0.29988317244273,0.0189114380661098,-0.336949591052306,-0.262816753833155
"pBMI.pSEP.beta",-0.082851136728205,0.0108363783917435,-0.104090438376022,-0.0616118350803877,0.0724954277734575,0.0285034074800718,0.0166287491125167,0.128362106434398,-0.0105518747982146,0.0277771515918013,-0.0649950919181452,0.043891342321716,0.0225863427412125,0.0186958941611256,-0.0140576098145937,0.0592302952970188,0.00755272841820741,0.00832769466171639,-0.00876955311875671,0.0238750099551715
"pBMI.pSmoke_pSEP.beta",-0.105375761158951,0.0264193028250069,-0.157157594695964,-0.0535939276219375,-0.437239461195033,0.0674354802570732,-0.569413002498897,-0.30506591989117,-0.159877009071176,0.0698492107536333,-0.296781462148297,-0.022972555994055,-0.315006833838003,0.0473249275118579,-0.407763691761245,-0.222249975914762,-0.322459431727445,0.0200216942696734,-0.361701952496005,-0.283216910958885
"pBMI.pSEP_pSmoke.beta",-0.0878714804193555,0.0124885564536805,-0.112349051068569,-0.0633939097701417,0.00825495264094712,0.0297692825225189,-0.05009284110319,0.0666027463850843,-0.0180623265362656,0.0287170719672463,-0.0743477875920684,0.0382231345195372,-0.0120747922401293,0.019508332458267,-0.0503111238583326,0.0261615393780739,-0.0298741737008085,0.00865343143133653,-0.0468348993062281,-0.0129134480953889
"oBW.pBMI.beta",0.0610465537309745,0.0105845956938553,0.0403007461710181,0.081792361290931,0.0604225287782973,0.0261611128796261,0.00914674753423008,0.111698310022364,0.0223339297920577,0.0310157784483116,-0.0384569959666331,0.0831248555507486,0.047831582222144,0.0190918611928581,0.0104115342841421,0.0852516301601459,0.0534511021297778,0.00881654605886182,0.0361706718544086,0.070731532405147
"oBW.pSmoke.beta",-0.177316739279203,0.0212981446894598,-0.219061102870544,-0.135572375687862,-0.208210584744408,0.0511624997050974,-0.308489084166399,-0.107932085322417,-0.0168218281504805,0.0624796812348245,-0.139282003370737,0.105638347069775,-0.127007473258991,0.0385521752617239,-0.202569736771969,-0.0514452097460116,-0.208280076524752,0.0186715268638293,-0.244876269177857,-0.171683883871646
"oBW.pSmoke_pBMI.beta",-0.15523267721603,0.0233640172535588,-0.201026151033005,-0.109439203399055,-0.177025353598561,0.0573467269922215,-0.289424938503315,-0.0646257686938069,0.0201187418312339,0.0697111417904492,-0.116515096078046,0.156752579740514,-0.0880354450152161,0.0426666862770985,-0.171662150118329,-0.00440873991210305,-0.200108087992403,0.0190649727019668,-0.237475434488258,-0.162740741496548
"oBW.pBMI_pSmoke.beta",0.0551150970891023,0.011635848010413,0.0323088349886929,0.0779213591895118,0.0428763952203895,0.0271298954031492,-0.010298199769783,0.096050990210562,0.0308616461025067,0.0335152338951403,-0.0348282123319682,0.0965515045369817,0.0480741853832037,0.0200559934712737,0.00876443817950724,0.0873839325869002,0.0411906245292385,0.00895030964440017,0.0236480176262142,0.0587332314322628
"mSmoke.mSEP.beta",-0.691691737493427,0.0264886345183843,-0.74360946114946,-0.639774013837394,-0.839332935592059,0.0386973749038044,-0.915179790403515,-0.763486080780602,-0.160758966920251,0.0670156407354126,-0.292109622761659,-0.0294083110788421,-0.568549196654004,0.0267383588400308,-0.620956379980465,-0.516142013327544,-0.64466102324298,0.0191827063093563,-0.682259127609319,-0.607062918876642
"mBMI.mSmoke.beta",-0.0517256781187951,0.0219320418733315,-0.0947124801905248,-0.00873887604706533,-0.167000611212505,0.0328914135212095,-0.231467781714076,-0.102533440710935,0.0187842349554251,0.0772918594021578,-0.132707809472804,0.170276279383654,-0.00782251232200026,0.0264411730020422,-0.059647211406003,0.0440021867620025,-0.152110900787573,0.0185888753735581,-0.188545096519747,-0.115676705055399
"mBMI.mSEP.beta",-0.113267019598924,0.0102407672007995,-0.133338923312491,-0.093195115885357,0.00981110284021282,0.0155695510315496,-0.0207052171816245,0.0403274228620501,-0.0992685090002706,0.0119259478276355,-0.122643366742436,-0.0758936512581051,-0.0566122576588904,0.00900148671103807,-0.0742551716125251,-0.0389693437052558,-0.000787115531281278,0.00727657652652646,-0.0150492055232731,0.0134749744607106
"mBMI.mSmoke_mSEP.beta",-0.116126938600905,0.023071532064925,-0.161347141448158,-0.0709067357536521,-0.168512873219116,0.0370634766570953,-0.241157287467022,-0.0958684589712089,-0.0136729260363288,0.0780048665624674,-0.166562464498765,0.139216612426107,-0.033581662345463,0.0280576411778171,-0.0885746390539844,0.0214113143630585,-0.172219719318153,0.0195980385832829,-0.210631874941388,-0.133807563694919
"mBMI.mSEP_mSmoke.beta",-0.128991672823865,0.0110337588688551,-0.150617840206821,-0.107365505440909,-0.017923260743705,0.0166749384274945,-0.0506061400615943,0.0147596185741843,-0.0987867397640479,0.0119481519161058,-0.122205117519615,-0.0753683620084805,-0.0586565421160457,0.00921842606869705,-0.0767246572106919,-0.0405884270213995,-0.0198021019240836,0.00757382171499558,-0.0346467924854749,-0.00495741136269221
"oBW.mBMI.beta",0.141699677385604,0.00899572927791186,0.124068048000897,0.159331306770311,0.189133773293157,0.0152047412375855,0.159332480467489,0.218935066118825,0.180371082117411,0.0134047341090011,0.154097803263769,0.206644360971053,0.190748755484218,0.00956094262493001,0.172009307939356,0.209488203029081,0.130252289774877,0.00763248686939058,0.115292615510872,0.145211964038883
"oBW.mSmoke.beta",-0.339488452689939,0.0188653771178066,-0.37646459184084,-0.302512313539039,-0.424887854372089,0.0314212937917579,-0.486473590203934,-0.363302118540243,-0.195487008306982,0.0757141637550785,-0.343886769266936,-0.0470872473470282,-0.12296670455137,0.0257032487488705,-0.173345072099156,-0.0725883370035842,-0.38496454063944,0.0176459178466015,-0.419550539618779,-0.350378541660101
"oBW.mSmoke_mBMI.beta",-0.309724563456015,0.0202463499153649,-0.34940740929013,-0.2700417176219,-0.417372549717366,0.0317172315151629,-0.479538323487085,-0.355206775947646,-0.196837782586943,0.0760317864704227,-0.345860084068971,-0.0478154811049143,-0.136756297637672,0.0258599542193731,-0.187441807907643,-0.0860707873677008,-0.392903968906447,0.0181312845193898,-0.428441286564451,-0.357366651248443
"oBW.mBMI_mSmoke.beta",0.140814556247511,0.00903025411714516,0.123115258177907,0.158513854317116,0.173718388581399,0.0149473900595213,0.144421504064738,0.203015273098061,0.180662775586394,0.0133975194062707,0.154403637550104,0.206921913622685,0.190654903963798,0.00955198936816044,0.171933004802204,0.209376803125393,0.119840234397226,0.00754462857539292,0.105052762389456,0.134627706404997
"pParticipation.pSEP.beta",0.460038217461273,0.0260410421054385,0.408997774934613,0.511078659987932,0.136195330467375,0.0340752805912941,0.0694077805084388,0.202982880426312,0.224178789470724,0.0300563046337061,0.16526843238866,0.283089146552788,0.127856161826084,0.0205145574320168,0.087647629259331,0.168064694392837,0.399583321373939,0.0694405158545543,0.263479910299012,0.535686732448865
"pParticipation.mSEP.beta",0.324291230821893,0.0274950012187461,0.27040102843315,0.378181433210635,0.208225852317379,0.0314332773033571,0.146616628802799,0.269835075831959,0.151810948075717,0.0278545792116486,0.097215972820886,0.206405923330549,0.165248226898149,0.0194055910700204,0.127213268400909,0.203283185395389,0.498957954703407,0.0166252663182445,0.466372432719647,0.531543476687166
"pParticipation.mBMI.beta",0.00181178203314268,0.0252490853270222,-0.0476764252078208,0.0512999892741061,0.0481704063914176,0.0323074389272309,-0.0151521739059551,0.11149298668879,-0.154708106469992,0.0343169504165455,-0.221969329286421,-0.0874468836535629,-0.00880959142789336,0.0217540648803182,-0.051447558593317,0.0338283757375303,0.121318310877613,0.0180601022323604,0.0859205105021863,0.156716111253039
"pParticipation.mSmoke.beta",-0.81014982345781,0.0500853691799055,-0.908317147050425,-0.711982499865195,-0.349005156733913,0.0680026439981132,-0.482290338970214,-0.215719974497611,-0.0331935177382556,0.181216261666526,-0.388377390604647,0.321990355128135,0.0458776618310027,0.0562618792378673,-0.0643956214752172,0.156150945137223,-0.893881294790277,0.0373035934936915,-0.966996338037912,-0.820766251542642
