"","alspac","bib south asians","bib white european","bib all","mcs"
"prop.dads",0.767067440574903,0.219001886468873,0.345065716195144,0.274769635805178,0.712515761197303
"prop.pSmoke",0.485759687079819,0.296112489660877,0.340310600945307,0.313192346424975,0.329452485840151
"prop.mSmoke",0.306307060892872,0.0321471548908372,0.337271511368703,0.164410058027079,0.220502689057184
